vertex_A,vertex_B,edges
0,1,225.28
0,2,295.07
0,3,129.84
2,3,328.09
2,14,291.9
2,72,419.92
3,77,289.2
4,19,532.99
4,30,624.33
4,72,621.76
4,73,682.88
4,91,178.67
5,6,80.83
5,7,149.98
6,80,61.22
7,8,888.72
7,79,1078.19
7,98,387.0
9,10,175.6
9,16,180.1
10,25,127.53
10,27,171.19
10,70,172.67
11,12,350.18
11,36,291.7
12,52,407.41
12,87,217.33
12,88,147.97
12,89,264.79
12,90,113.04
13,83,152.28
13,93,136.93
14,19,292.3
14,20,148.07
15,16,171.92
15,62,75.51
15,63,215.32
15,85,143.53
16,27,181.35
16,61,116.91
17,44,171.32
17,51,222.54
17,60,179.72
18,32,161.25
18,36,156.21
19,72,86.03
20,76,475.31
20,91,347.44
21,22,414.77
21,23,290.59
21,34,523.97
21,65,138.91
22,50,165.62
22,60,172.31
23,51,171.36
23,81,150.79
24,25,177.48
24,26,100.94
24,27,131.6
26,47,63.76
26,63,148.14
27,63,142.62
28,29,157.8
28,32,138.12
28,68,145.15
29,34,145.72
29,35,222.7
30,31,135.79
30,85,246.29
31,61,185.01
31,62,51.75
32,33,145.65
33,36,155.07
33,64,485.03
33,68,140.94
34,68,159.12
34,96,225.4
35,96,143.03
36,88,217.9
37,40,236.21
37,92,104.57
38,45,207.69
38,84,203.48
39,40,154.01
39,41,67.61
40,82,239.71
41,84,90.68
42,51,268.38
42,81,448.19
43,55,383.25
43,56,175.03
43,57,150.93
44,46,99.61
44,58,219.37
45,57,134.66
46,47,90.4
47,56,322.26
48,49,155.59
48,50,186.93
49,59,187.3
50,58,174.79
50,59,158.45
51,81,311.38
52,53,141.48
53,94,110.96
54,55,152.04
54,57,327.22
54,75,339.8
54,92,136.99
55,67,168.67
56,67,431.42
56,85,411.2
58,60,150.62
59,70,180.25
64,65,98.96
64,66,164.88
64,89,131.83
65,68,521.82
65,81,282.51
66,81,156.73
66,89,214.44
67,76,331.45
67,91,451.76
69,93,96.69
71,72,343.09
71,73,164.43
72,77,324.16
74,81,156.35
74,83,123.23
74,84,519.3
74,89,289.42
75,76,309.6
77,78,329.24
77,79,761.11
77,80,1113.49
77,95,187.49
78,79,204.12
78,95,119.93
81,84,518.75
81,89,349.76
82,83,496.24
82,84,137.75
83,86,173.42
85,91,544.93
86,87,116.57
89,90,156.98
90,99,80.37
