Vertex 0: lat=10.76666850, lon=106.67179510
Vertex 1: lat=10.76619230, lon=106.66979100
Vertex 2: lat=10.76746503, lon=106.67423560
Vertex 3: lat=10.76781440, lon=106.67153850
Vertex 4: lat=10.77385850, lon=106.67784555
Vertex 5: lat=10.77716250, lon=106.66454700
Vertex 6: lat=10.77761060, lon=106.66512960
Vertex 7: lat=10.77626713, lon=106.66357477
Vertex 8: lat=10.77047313, lon=106.65808929
Vertex 9: lat=10.77898150, lon=106.68607280
Vertex 10: lat=10.77789910, lon=106.68724340
Vertex 11: lat=10.77099942, lon=106.70123994
Vertex 12: lat=10.77111925, lon=106.69866754
Vertex 13: lat=10.76811244, lon=106.69545014
Vertex 14: lat=10.76959800, lon=106.67580570
Vertex 15: lat=10.77673884, lon=106.68381582
Vertex 16: lat=10.77785590, lon=106.68488720
Vertex 17: lat=10.77360060, lon=106.68957499
Vertex 18: lat=10.77432278, lon=106.70100697
Vertex 19: lat=10.77126890, lon=106.67374290
Vertex 20: lat=10.77058920, lon=106.67671060
Vertex 21: lat=10.77361860, lon=106.69447940
Vertex 22: lat=10.77591480, lon=106.69159390
Vertex 23: lat=10.77208240, lon=106.69232740
Vertex 24: lat=10.77594630, lon=106.68698660
Vertex 25: lat=10.77711390, lon=106.68809440
Vertex 26: lat=10.77526565, lon=106.68637185
Vertex 27: lat=10.77679660, lon=106.68614950
Vertex 28: lat=10.77680180, lon=106.69992270
Vertex 29: lat=10.77777600, lon=106.69887230
Vertex 30: lat=10.77780604, lon=106.68168737
Vertex 31: lat=10.77720570, lon=106.68277020
Vertex 32: lat=10.77566380, lon=106.70042910
Vertex 33: lat=10.77466380, lon=106.69956940
Vertex 34: lat=10.77679910, lon=106.69798310
Vertex 35: lat=10.77913840, lon=106.69737820
Vertex 36: lat=10.77336705, lon=106.70010771
Vertex 37: lat=10.76749480, lon=106.68643667
Vertex 38: lat=10.76999160, lon=106.68859770
Vertex 39: lat=10.76803530, lon=106.68894560
Vertex 40: lat=10.76680578, lon=106.68842276
Vertex 41: lat=10.76830925, lon=106.68937650
Vertex 42: lat=10.77076325, lon=106.68950010
Vertex 43: lat=10.77156890, lon=106.68566970
Vertex 44: lat=10.77428675, lon=106.68821950
Vertex 45: lat=10.77126395, lon=106.68720230
Vertex 46: lat=10.77466215, lon=106.68750505
Vertex 47: lat=10.77501940, lon=106.68682970
Vertex 48: lat=10.77818480, lon=106.69176720
Vertex 49: lat=10.77914010, lon=106.69072640
Vertex 50: lat=10.77693840, lon=106.69061890
Vertex 51: lat=10.77255315, lon=106.69100788
Vertex 52: lat=10.76809640, lon=106.70074140
Vertex 53: lat=10.76724887, lon=106.69977266
Vertex 54: lat=10.76829771, lon=106.68441155
Vertex 55: lat=10.76904860, lon=106.68327740
Vertex 56: lat=10.77289740, lon=106.68481130
Vertex 57: lat=10.77041720, lon=106.68640930
Vertex 58: lat=10.77575320, lon=106.68956840
Vertex 59: lat=10.77790860, lon=106.68955650
Vertex 60: lat=10.77482350, lon=106.69057455
Vertex 61: lat=10.77838660, lon=106.68396330
Vertex 62: lat=10.77698160, lon=106.68318540
Vertex 63: lat=10.77587630, lon=106.68523625
Vertex 64: lat=10.77209980, lon=106.69600400
Vertex 65: lat=10.77278700, lon=106.69542840
Vertex 66: lat=10.77126730, lon=106.69475540
Vertex 67: lat=10.77005610, lon=106.68212310
Vertex 68: lat=10.77582080, lon=106.69904610
Vertex 69: lat=10.76655462, lon=106.69409920
Vertex 70: lat=10.77901110, lon=106.68834680
Vertex 71: lat=10.77365090, lon=106.67163260
Vertex 72: lat=10.77091097, lon=106.67306340
Vertex 73: lat=10.77509070, lon=106.67192800
Vertex 74: lat=10.77013147, lon=106.69414706
Vertex 75: lat=10.76610310, lon=106.68225700
Vertex 76: lat=10.76786680, lon=106.68006430
Vertex 77: lat=10.76948638, lon=106.67049760
Vertex 78: lat=10.76814575, lon=106.66803796
Vertex 79: lat=10.76735108, lon=106.66635667
Vertex 80: lat=10.77790195, lon=106.66550485
Vertex 81: lat=10.77128485, lon=106.69339829
Vertex 82: lat=10.76754410, lon=106.69048280
Vertex 83: lat=10.76922260, lon=106.69469035
Vertex 84: lat=10.76859010, lon=106.68980200
Vertex 85: lat=10.77595255, lon=106.68278855
Vertex 86: lat=10.76980620, lon=106.69616200
Vertex 87: lat=10.77008285, lon=106.69713142
Vertex 88: lat=10.77221400, lon=106.69887030
Vertex 89: lat=10.77114600, lon=106.69658595
Vertex 90: lat=10.77157700, lon=106.69793800
Vertex 91: lat=10.77273610, lon=106.67901500
Vertex 92: lat=10.76788920, lon=106.68558550
Vertex 93: lat=10.76724215, lon=106.69459565
Vertex 94: lat=10.76659250, lon=106.69900560
Vertex 95: lat=10.76863472, lon=106.66901628
Vertex 96: lat=10.77819530, lon=106.69648780
Vertex 97: lat=10.77844910, lon=106.69395660
Vertex 98: lat=10.77221078, lon=106.69757865
Vertex 99: lat=10.77353912, lon=106.66135933
